,fk_id_familia,fk_id_grupo,nome_cientifico,categoria,ano,fk_id_categoria
0,0,1,Harpia harpyja,VU,2014,3.0
1,0,1,Harpia harpyja,VU,2021,3.0
2,0,1,Morphnus guianensis,VU,2014,3.0
3,0,1,Morphnus guianensis,VU,2021,3.0
4,0,1,Urubitinga coronata,EN,2014,4.0
5,0,1,Urubitinga coronata,EN,2021,4.0
6,0,1,Amadonastur lacernulatus,VU,2014,3.0
7,0,1,Amadonastur lacernulatus,VU,2021,3.0
8,0,1,Circus cinereus,VU,2014,3.0
9,0,1,Circus cinereus,VU,2021,3.0
10,0,1,Leptodon forbesi,EN,2014,4.0
11,0,1,Leptodon forbesi,EN,2021,4.0
12,1,9,Achirus mucuri,VU,2014,3.0
13,1,9,Achirus mucuri,VU,2021,3.0
14,2,2,Condylactis gigantea,EN,2014,4.0
15,2,2,Condylactis gigantea,EN,2021,4.0
16,3,4,Aegla franca,CR,2014,5.0
17,3,4,Aegla franca,CR,2021,5.0
