,ID_nome_comum,Nome_comum
235,235,Gato-maracajá
236,236,Gato-maracajá-mirim
237,237,Gato-mourisco
238,238,Gato-peludo
239,239,Gato-vermelho
240,240,Giant Atlantic Tree-rat
241,241,Golfinho
242,242,Golfinho-fliper
243,243,Gongolo
244,244,Gravatazeiro
245,245,Gritador-do-nordeste
246,246,Guaiamum
247,247,Guariba
248,248,Guariba-de-mãos-ruivas
249,249,Guará
250,250,Guarú-de-apiaí
251,251,Guatá (Mato Grosso)
252,252,Guigó
253,253,Guigó de Sergipe
254,254,Guigó-de-Coimbra-Filho
255,255,Guigó-mascarado
256,256,Guinea Pig
257,257,Hairy-eared Mouse
258,258,Hensel's Snake
259,259,Ipecuá
260,260,Itambe's Bromeliad Frog
261,261,Itatiaia Highland Frog
262,262,Itatiaia Tree Toad
263,263,Ituí
264,264,Ituí-maraúna
265,265,Izecksohn's Brazilian Treefrog
266,266,Izecksohn's Guanabara Frog
267,267,Jacamim-De-Costas-Escuras
268,268,Jacamim-De-Costas-Marrons
269,269,Jacamim-Do-Xingu
270,270,Jacu-Estalo-Escamoso
271,271,Jacu-de-alagoas
272,272,Jacu-estalo
273,273,Jacucaca
274,274,Jacupemba
275,275,Jacupiranga
276,276,Jaguarundi
277,277,Jararaca-de-Murici
278,278,Jiboinha-Grapiúna
279,279,Joana
280,280,Joaninha
281,281,Jurumi
282,282,Killifish
283,283,Klappenbach's Red-bellied Frog
284,284,Lacraia
285,285,Lambari
286,286,Lambari-azul-listrado
287,287,Lambari-da-restinga
288,288,Lambari-listrado
289,289,Lambaru
290,290,Lava-bunda
291,291,Lenheiro-da-serra-do-cipó
292,292,Lesma
293,293,Libélula
294,294,Libélula das bromélias
295,295,Limpa-folha-de-bico-virado
296,296,Limpa-fundo
297,297,Lobo
298,298,Lobo-de-crina
299,299,Lobo-de-juba
300,300,Lobo-guará
301,301,Lobo-vermelho
302,302,Lobão
303,303,Lund's Atlantic tree-rat
304,304,Lutz's River Frog
305,305,Macaco
306,306,Macaco prego do peito amarelo
307,307,Macaco-aranha
308,308,Macaco-aranha-da-cara-preta
309,309,Macaco-de-cheiro-de-cabeça-preta
310,310,Macaco-prego
311,311,Macaco-prego-de crista
312,312,Macaco-prego-do-peito-amarelo
313,313,Macaco-prego-galego
314,314,Macaco-preto
315,315,Macaquinho-branco
316,316,Machote
317,317,Manati
318,318,Mandi
319,319,Manico
320,320,Mané nego
321,321,Maracajá-i
322,322,Maracajá-peludo
323,323,Maria-boba
324,324,Maria-leque-do-sudeste
325,325,Mariposa
326,326,Mariposa-esfinge
327,327,Mariquina
328,328,Marisco de água doce
329,329,Marisco-de-água-doce
330,330,Maçarico-De-Costas-Brancas
331,331,Maçarico-de-bico-torto
332,332,Mero
333,333,Mero preto
334,334,Merote
335,335,Mertens Tree Toad
336,336,Mico-de-Rondônia
337,337,Mico-leão baiano
338,338,Mico-leão-da-cara-dourada
339,339,Mico-leão-da-cara-preta
340,340,Mico-leão-dourado
341,341,Mico-leão-preto
342,342,Mico-topetudo
343,343,Minhoca
344,344,Minhoca-branca
345,345,Minhocas
346,346,Mocó
347,347,Moleques do Sul
348,348,Mono
349,349,Mono-carvoeiro
350,350,Montevideo Redbelly Toad
351,351,Moojen's Atlantic Spiny-rat
352,352,Morceguinho-do-Cerrado
353,353,Mumuninha
354,354,Muriqui-do-sul
355,355,Muriquina
356,356,Muriquinina
357,357,Mutum-de-bico-vermelho
358,358,Mutum-do-nordeste
359,359,Mutum-do-sudeste
360,360,Muçurana-nariguda-do-são-francisco
361,361,Mãe-De-Taoca-De-Cara-Branca
362,362,Mãe-da-lua-parda
363,363,Mãe-de-taoca
364,364,Mão-vermelha-do-chaco
365,365,Niquim
366,366,Onicóforo
367,367,Onça-pintada
368,368,Onça-preta
369,369,Opilião
370,370,Orange-brown Atlantic tree-rat
371,371,Ornate Horned Frog
372,372,Ouriço-cacheiro
373,373,Ouriço-preto
374,374,Pacamã
375,375,Pacu
376,376,Pacu-prata
377,377,Painted tree frog
378,378,Panã
